시군구,위도,경도
0,가평군,37.831508,127.509541
1,고양시,37.6583981,126.8319831
2,과천시,37.4292013,126.987675
3,광명시,37.4786176,126.8646504
4,광주시,37.4294306,127.2550476
5,구리시,37.594266,127.129632
6,군포시,37.361523,126.935338
7,김포시,37.61535,126.715544
8,남양주시,37.635985,127.216467
9,동두천시,37.903662,127.060671
10,부천시,37.5035917,126.766
11,성남시,37.4200267,127.1267772
12,수원시,37.263476,127.028646
13,시흥시,37.380177,126.802934
14,안산시,37.3219123,126.8308176
15,안성시,37.0080546,127.2797732
16,안양시,37.3942905,126.9567534
17,양주시,37.785329,127.045847
18,양평군,37.491791,127.487597
19,여주시,37.206085,127.662538
20,연천군,38.096738,127.074755
21,오산시,37.149887,127.077462
22,용인시,37.2412522,127.1774916
23,의왕시,37.3448869,126.9682786
24,의정부시,37.738083,127.033753
25,이천시,37.272342,127.435034
26,파주시,37.760186,126.779883
27,평택시,36.9923537,127.1126947
28,포천시,37.894867,127.2002404
29,하남시,37.5393014,127.2148742
30,화성시,37.199565,126.831405
