,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
서울,475973,451921,457744,489772,516892,543780,668223,780026,846466,919111
종로구,435000,434416,395166,401750,412541,431833,576875,688041,860375,947958
중구,485943,467500,463583,485583,506250,527166,660416,775666,817250,991708
용산구,771000,710416,666875,677125,689208,727791,969291,1321250,1299583,1471666
성동구,462541,435791,449333,467875,485958,509416,661791,842541,887083,1116583
광진구,545333,513041,512166,536500,565791,597708,738291,861041,992666,1158916
동대문구,351708,334833,341333,355291,378666,399416,460833,582916,631708,756458
중랑구,299583,291833,286750,296000,305416,311625,350416,482958,482125,576791
성북구,365375,352750,363250,374750,393208,409250,465375,540625,594750,726916
강북구,337083,320416,323000,332458,345291,349750,389791,453708,469625,603500
도봉구,290250,263916,268458,281083,294208,303583,337875,401291,400375,530750
노원구,250166,239875,246000,264666,279541,301583,350583,415250,450083,573958
은평구,311250,303916,316250,326708,332958,353708,437083,537875,623958,754791
서대문구,345416,335500,341125,349000,363791,384000,505208,615125,621833,770041
마포구,439583,442291,451958,471375,491500,531041,712708,846208,982083,1098625
양천구,508291,487375,486416,496625,516083,548500,646958,761458,831500,1044416
강서구,366750,339875,339333,374708,415125,445666,510833,575958,610041,719416
구로구,327625,318458,316041,333166,352958,369458,416541,500166,522875,607125
금천구,274166,272041,279541,292958,307375,324333,361708,401291,475416,563416
영등포구,423458,406458,405375,422750,444708,461916,535958,714875,753500,931291
동작구,455750,430416,458166,479458,501208,531000,673416,780166,822875,993125
관악구,383750,365708,370833,376416,394541,419625,456000,531083,552416,668416
서초구,848654,802600,815875,901125,990416,1041458,1254791,1421458,1637708,1843166
강남구,833833,775875,796000,886666,975916,1056875,1361666,1530833,1638541,1955958
송파구,689500,682625,697291,742791,773416,825916,1086666,1121041,1260208,1456375
강동구,472541,440083,445833,493166,473833,475208,599541,710750,779375,919708
