"시군별(1)",2013,2014,2015,2016,2017,2018,2019
"시군별(1)",용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별,용도지역별
"시군별(1)",주거,주거,주거,주거,주거,주거,주거
"합계",1.089,1.579,1.944,2.539,3.655,4.463,4.506
"수원시",0.576,1.252,1.595,1.873,3.103,3.780,4.132
"성남시",2.021,1.147,1.812,3.183,3.784,5.705,5.315
"안양시",1.248,0.976,2.031,3.149,3.721,4.602,4.593
"부천시",1.798,2.054,2.291,1.729,3.679,3.990,4.655
"광명시",1.266,1.166,2.160,2.380,3.738,5.412,5.740
"평택시",1.119,1.641,2.191,3.388,8.453,5.076,4.237
"안산시",0.549,1.217,1.529,3.010,3.225,3.225,3.907
"과천시",-0.150,1.738,2.050,2.165,3.376,5.882,6.145
"오산시",0.748,1.587,1.813,1.949,2.428,2.594,3.096
"시흥시",1.379,1.705,0.558,3.022,3.475,4.197,4.329
"군포시",0.637,1.222,2.095,2.653,3.222,3.184,3.900
"의왕시",0.424,2.606,2.135,3.409,4.317,4.622,4.450
"하남시",4.024,4.354,3.486,3.114,3.828,5.522,7.165
"용인시",1.373,1.319,1.739,1.969,2.100,3.573,4.643
"이천시",0.795,1.697,1.693,2.901,3.141,2.993,3.934
"안성시",1.196,1.493,2.614,3.654,3.777,2.235,2.172
"김포시",0.551,1.462,1.981,1.640,2.869,4.578,4.211
"화성시",1.330,2.096,2.362,3.599,5.141,4.264,3.888
"광주시",0.337,0.650,1.572,2.297,3.783,4.160,4.273
"여주시",1.103,1.893,1.925,2.771,3.319,2.833,3.369
"양평군",0.236,0.011,1.640,2.227,4.178,2.934,3.643
"의정부시",0.344,1.232,1.239,1.876,2.409,3.369,3.391
"동두천시",0.173,0.300,1.125,1.466,2.445,2.742,3.485
"고양시",1.136,2.437,2.265,2.510,3.824,5.219,4.131
"구리시",0.453,1.487,2.915,2.588,3.542,6.391,4.689
"남양주시",0.556,1.663,2.947,2.769,4.150,3.994,5.371
"파주시",-0.394,1.647,0.787,1.500,3.205,6.347,2.392
"양주시",-0.430,0.407,1.162,2.226,2.130,3.074,3.247
"포천시",-2.331,0.268,1.414,1.435,2.406,2.529,3.164
"연천군",-0.631,1.512,1.302,1.639,2.044,5.028,3.060
"가평군",0.363,0.937,0.724,2.111,2.898,3.549,2.858
