"행정구역(시군구)별",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"행정구역(시군구)별",총전입 (명),총전입 (명),총전입 (명),총전입 (명),총전입 (명),총전입 (명),총전입 (명),총전입 (명),총전입 (명),총전입 (명),총전입 (명),총전입 (명)
"경기도",2168820,2062422,1944962,1895434,1891775,1993080,1958593,1888324,2041715,1940962,2152572,2036215
"수원시",184402,202035,200113,195500,196453,189637,172210,177059,187806,173336,168204,183258
"성남시",182500,171589,155354,162734,150240,152980,174390,157557,136911,126568,152795,143716
"의정부시",65756,65206,61489,65548,63021,66820,65844,66965,66382,64399,78645,64152
"안양시",99331,91534,96964,83335,81727,85267,96112,84779,73467,72368,79982,87149
"부천시",136267,140599,124199,119427,117954,123425,125460,114426,113508,88659,95110,83726
"광명시",87001,68937,52314,47076,46176,44735,41712,43201,45172,38523,46812,38155
"평택시",67915,73419,72433,72028,68508,77256,75179,76783,87850,93713,103098,115345
"동두천시",20437,17225,17907,15920,16052,16300,16074,13422,13118,11891,13345,14191
"안산시",121052,119858,105760,101514,98715,103260,93537,78735,85590,86724,117075,88573
"고양시",174090,173745,157485,171535,166111,176821,158904,139002,144703,165154,171708,149815
"과천시",12035,11230,10328,10181,9925,10037,10957,8304,9496,7869,15066,21901
"구리시",32709,31512,27887,26991,25654,28009,34966,31572,32065,23107,29851,24380
"남양주시",117456,90397,100136,95333,96997,95266,81347,73470,95555,96451,93021,105754
"오산시",52285,41302,33373,33296,30527,28913,27623,32136,38577,37051,34691,30911
"시흥시",66949,63480,57034,55348,53651,61075,56984,69581,87150,85404,98504,73957
"군포시",57140,43004,39775,37389,44952,38538,35230,31552,34479,35183,37273,31293
"의왕시",27726,25252,25204,26882,20485,20642,19970,18850,16536,29540,29486,20685
"하남시",24274,24167,21424,19826,26015,45243,77934,52288,60225,55899,63586,75433
"용인시",178743,164017,157560,159125,159271,159061,148258,142704,177079,163901,167745,156128
"파주시",81782,82072,73676,64913,67889,69427,60355,59087,72642,55949,75882,79477
"이천시",35781,31540,30133,28617,28254,28326,33122,30655,28630,31401,31253,37284
"안성시",32683,28500,27119,24496,23402,22766,29465,22616,28572,25597,27891,28351
"김포시",46621,54518,70391,67509,73961,57271,58788,80188,84845,63503,111331,72655
"화성시",101327,93509,82743,76374,81398,144301,120293,129735,170212,168445,155727,153361
"양주시",45134,33273,30149,25478,31799,30113,26149,33540,32293,33309,38466,34428
"광주시",47093,54174,47598,47866,48207,52978,53804,56822,58486,50192,54712,56359
"포천시",25045,22547,21195,19625,20193,19329,18181,18547,18647,16391,17883,20818
"여주시",-,-,-,13287,16212,15048,14642,14162,13429,13171,14113,14527
"양주군",0,0,0,0,0,0,0,0,0,0,0,0
"여주군",15144,13951,13535,0,0,0,0,0,0,0,0,0
"화성군",0,0,0,0,0,0,0,0,0,0,0,0
"파주군",0,0,0,0,0,0,0,0,0,0,0,0
"광주군",0,0,0,0,0,0,0,0,0,0,0,0
"연천군",5668,5279,6287,5546,5210,6011,6135,5361,5093,4840,5231,4992
"포천군",0,0,0,0,0,0,0,0,0,0,0,0
"가평군",7554,7550,8800,7452,7590,7795,7570,7449,7438,6886,7288,7508
"양평군",16920,17001,16597,15283,15226,16430,17398,17776,15759,15538,16798,17933
"이천군",0,0,0,0,0,0,0,0,0,0,0,0
"용인군",0,0,0,0,0,0,0,0,0,0,0,0
"안성군",0,0,0,0,0,0,0,0,0,0,0,0
"김포군",0,0,0,0,0,0,0,0,0,0,0,0
