산업별,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019
산업별,사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명)
전체 산업,729731,4487357,752285,4498312,780887,4541393,785094,4585090,812798,4739883,820658,5108828,820156,5079451,822863,5119913,823385,5210936,823624,5226997
"농업, 임업 및 어업(01~03)",18,346,20,383,21,295,21,413,18,381,17,491,25,464,29,469,30,462,24,426
광업(05~08),17,153,23,135,30,120,19,52,27,74,23,69,22,58,21,66,24,81,20,43
제조업(10~34),54411,265281,56617,268430,59870,277232,59263,266641,61652,276287,63389,293173,62150,278773,61583,277920,58970,266500,57321,265273
"전기, 가스, 증기 및 공기조절 공급업(35)",89,9738,94,9345,97,8412,101,9110,114,6351,117,6501,119,5660,139,5576,183,6083,225,6234
"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",398,8337,439,8670,462,8160,470,8414,490,8594,486,8939,453,8649,445,8963,451,9139,475,9158
건설업(41~42),19464,381392,20546,358751,21177,312583,21411,287242,22367,283083,22695,360192,22474,369054,22228,385208,21825,379353,21626,362785
도매 및 소매업(45~47),209510,782169,215479,793641,225346,806212,225877,830261,232616,866126,234501,912448,230451,891402,228295,888464,223955,896326,220055,899642
운수 및 창고업(49~52),92930,265248,91819,264363,92285,258770,93415,255994,95147,259483,93635,279879,94843,276717,93702,274793,95412,272618,94759,264181
숙박 및 음식점업(55~56),115918,403256,119308,416136,122338,429913,123651,442901,126542,462331,126779,480034,128199,470397,130195,474515,130595,495092,132475,493912
정보통신업(58~63),13717,294365,16151,301063,18515,309083,19153,312044,22496,326288,23903,350342,23397,344870,23206,345030,23384,357761,23356,360062
금융 및 보험업(64~66),9634,274990,10001,272510,10369,267134,10218,261195,10642,262244,10891,286831,11010,273238,11165,268252,11220,262273,11444,266110
부동산업(68),32761,140776,33117,136099,32974,129103,32431,128785,34350,143929,35875,154426,38378,163076,39677,158593,41282,158063,43611,166094
"전문, 과학 및 기술 서비스업(70~73)",26250,375353,29132,388952,32724,398110,33543,397584,37727,419733,40626,450909,39226,432207,38937,437822,41654,463519,42782,485150
"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",12371,360973,13505,338945,14589,353782,14945,375210,16473,394774,16637,442059,16007,474742,15950,478382,16198,496433,16354,472573
"공공행정, 국방 및 사회보장 행정(84)",1294,130289,1319,127943,1293,137153,1275,134213,1258,129765,1285,136166,1292,136017,1296,138150,1282,140121,1296,141582
교육 서비스업(85),30263,300593,31299,300810,31878,311135,32318,315236,33349,319723,33618,341006,34074,336028,34762,341732,35377,346219,35761,351320
보건업 및 사회복지 서비스업(86~87),22151,240424,23402,252182,24495,268892,25349,286817,26683,307277,26528,320189,27828,342572,28683,358563,28824,378366,29168,400143
"예술, 스포츠 및 여가관련 서비스업(90~91)",21263,73025,21443,73561,21551,74796,21118,76465,20941,77301,20539,80444,21540,83278,22913,86452,23025,91104,23527,92752
"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",67272,180649,68571,186393,70873,190508,70516,196513,69906,196139,69114,204730,68668,192249,69637,190963,69694,191423,69345,189557
